1,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4090,4155,4226,4284,4349,4405,4472,4531,4594,4657,4723,4786,4844,4916,4980,5046,5112,5179,5246,5313,5386,5459,5527,5603,5681,5760,5839,5925,6002,6088,6167,6246,6329,6410,6486,6565,6648,6732,6814,6897,6977,7064,7142,7234,7322,7402,7489,7573,7657,7739,7824,7902,7988,8065,8144,8220,8299,8377,8446,8521,8595,8667,8743,8813,8880,8952,9017,9084,9142,9210,9270,9332,9391,9452,9509,9567,9620,9683,9739,9794,9840,9894,9941,9987,10034,10057,10096,10106,10111,10112
0.25,2.0054,2.3754,2.7454,3.1154,3.4854,3.8554,4.2254,4.5954,4.9654,5.3354,5.7054,6.0754,6.4454,6.8154,7.1854,7.5554,7.9254,8.2954,8.6654,9.0354,9.4054,9.7754,10.1454,10.5154,10.8854,11.2554,11.6254,11.9954,12.3654,12.7354,13.1054,13.4754,13.8454,14.2154,14.5854,14.9554,15.244,18.722,22.274,23.754,24.642,24.79,24.79,24.864,24.938,25.012,25.086,25.308,25.53,25.678,25.9,26.122,26.344,26.418,26.566,26.714,27.01,27.454,27.972,28.638,29.674,30.266,31.006,31.894,32.264,32.56,32.634,32.56,32.412,32.19,32.116,32.116,32.264,32.56,32.782,32.856,33.152,33.34,33.892,34.04,34.114,34.114,34.114,34.114,34.04,33.744,33.596,33.374,33.004,32.708,32.486,32.042,31.672,31.228,30.932,30.562,30.266,29.97,29.674,29.23,28.934,28.49,28.046,27.676,27.084,26.566,25.9,25.382,25.086,24.642,24.272,23.902,23.606,23.458,23.384,23.014,22.422,21.386,20.572,19.832,19.462,18.056,15.244,13.394,9.028,4.144
