4592.758	17.178
4723.748	17.235
4854.738	17.686
4985.728	18.251
5116.718	18.646
5313.203	19.154
5444.193	19.719
5575.184	20.170
5706.173	20.735
5837.164	21.299
5968.154	21.977
6099.144	22.541
6230.134	23.219
6361.124	23.783
6492.114	24.235
6623.104	24.743
6754.094	25.138
6885.084	25.590
7016.074	26.041
7147.064	26.324
7278.055	26.267
7409.045	26.098
7540.035	26.267
7671.024	26.606
7802.015	26.888
7933.005	26.888
8063.995	26.775
8194.985	26.832
8325.976	27.001
8456.966	27.058
8587.956	27.001
8718.945	26.945
8849.936	26.945
8980.926	26.832
9111.916	26.719
9242.906	26.380
9373.896	25.929
9504.886	25.703
9635.876	25.646
9766.866	25.533
9897.856	25.308
10028.847	25.138
10159.836	24.969
10290.827	24.799
10421.817	24.687
10552.807	24.630
10683.797	24.461
10814.787	24.179
10945.777	24.009
11076.768	23.783
11207.757	23.445
11338.747	23.219
11469.737	22.937
11600.728	22.541
11731.718	22.203
11862.708	21.977
11993.698	21.751
12124.688	21.299
12255.679	20.961
12386.668	20.735
12517.658	20.622
12648.648	20.283
12779.639	20.114
12910.629	20.057
13041.619	20.001
13172.608	19.945
